sku,brand,name,would_fix_by_map,map_primary
HU69790,HUNTER,Arnés Hilo Comfort,no,
KVP0375,KVP,Camiseta de recuperación,no,
HU208605,HUNTER,SOFA LOPPA 60X40 CM POLYESTER ANTHRACITE,no,
COA47309ZG1,COMPANY OF ANIMALS,ANATOMY COLLAR BURDEOS S,no,
PT05024NA,RED DINGO,Petral liso,no,
PT05043STV,RED DINGO,Petral Style,no,
CD00103LI,UNITED PETS,Recambio Bon Ton Nano,no,
JU03111,KONG,KONG Puppy Activity Ball,no,
CD00102GR,UNITED PETS,Recambio Bon Ton Nano,no,
MFP005,MEN FOR SAN,Champú pelo blanco,no,
HU68009,HUNTER,Arnés London Comfort Naranja,no,
HU67166,HUNTER,Collar Hilo Vario Plus,no,
HU203349,HUNTER,Leash,no,
PT05023BL,RED DINGO,Petral liso,no,
CR05043SPA,RED DINGO,Correa Style,no,
HU68064,HUNTER,Arnés London Comfort Lima,no,
PT05043CMF,RED DINGO,Petral Style,no,
PT05022LM,RED DINGO,Petral liso,no,
HU204961,HUNTER,Comedero Cerámica Osby,no,
HU64112,HUNTER,Collar Neopren Reflect,no,
HU64114,HUNTER,Collar Neopren Reflect,no,
JU04597,KONG,KONG Wubba™Octopus Assorted,no,
HU69736,HUNTER,Abrigo Milford,no,
CL05011MA,RED DINGO,Collar liso perro,no,
HU204994,HUNTER,Comedero Cerámica Osby,no,
HU69534,HUNTER,Comedero Namy Acero Inoxidable,no,
HU61799,HUNTER,Colchón Antibacterias Gent,no,
CR05012TQ,RED DINGO,Correa lisa,no,
PT05024AM,RED DINGO,Petral liso,no,
HU63142,HUNTER,Collar Convenience,no,
CL05043SCG,RED DINGO,Collar Style,no,
HU69763,HUNTER,Arnés Maldon Up,no,
HU67604,HUNTER,Correa ajustable Hilo,no,
HU43966,HUNTER,Collar Vario Basic Alu - Strong,no,
HU201797,HUNTER,Arnés Soho Mini,no,
HU68086,HUNTER,Arnés London Comfort Antracita,no,
COA47308ZG1,COMPANY OF ANIMALS,ANATOMY COLLAR BURDEOS XS,no,
HU68893,HUNTER,Correa ajustable Hilo,no,
HU201775,HUNTER,Arnés Divo Up,no,
HU92087,HUNTER,Comedero de Melamina,no,
JU03552,KONG,KONG Scrunch Knots Squirrel,no,
CR05012FX,RED DINGO,Correa lisa,no,
JU03003,KONG,KONG Classic,no,
HU63136,HUNTER,Collar Convenience,no,
CR05041SPB,RED DINGO,Correa Style,no,
HU69533,HUNTER,Comedero Namy Acero Inoxidable,no,
HU67465,HUNTER,Arnés Hilo Comfort,no,
CL05013NE,RED DINGO,Collar liso perro,no,
CR05011TQ,RED DINGO,Correa lisa,no,
CR05012RJ,RED DINGO,Correa lisa,no,
HU64120,HUNTER,Collar Neopren Reflect,no,
HU200298,HUNTER,Cama Rockford,no,
PT05022RJ,RED DINGO,Petral liso,no,
PT05065FX,RED DINGO,Petral No-Pull,no,
HU69777,HUNTER,Arnés Maldon Up,no,
CR04118,FLEXI,Correa Design cinta,no,
HU61801,HUNTER,Colchón Antibacterias Gent,no,
HU208452,HUNTER,COLLAR HAVANNA 50/M PLASTIC GREIGE,no,
HU69766,HUNTER,Arnés Maldon Up,no,
KVP0013,KVP,KONG Quick Fit,no,
CL00548,SPRENGER,Collar eslabón retorcido,no,
PT05024LM,RED DINGO,Petral liso,no,
HU91364,HUNTER,Comedero de Melamina,no,
HU208494,HUNTER,COLLAR HAVANNA 60/L PLASTIC BLACKBERRY,no,
HU64089,HUNTER,Sofá Gent Antibacteriano,no,
PT05050RJ,RED DINGO,Petral acolchado Red Dingo,no,
JU03024,KONG,KONG Dental with rope,no,
HU43514,HUNTER,Collar Vario Basic Alu - Strong,no,
HU65051,HUNTER,Cama Lancaster,no,
HU203341,HUNTER,Collar VB ALU-Strong,no,
JU03540,KONG,KONG Wild Knots Bears,no,
HU63125,HUNTER,Collar Convenience,no,
PT05021MO,RED DINGO,Petral liso,no,
HU201760,HUNTER,Correa Divo Up,no,
CL00051,SPRENGER,Collar eslabón corto,no,
JU03717,KONG,KONG Cuteseas Whale,no,
COA62220A,COMPANY OF ANIMALS,Baskerville ultra bozal,no,
JU03971,KONG,KONG Shells Turtle,no,
HU69784,HUNTER,Arnés Maldon Up,no,
HU66630,HUNTER,Collar Hilo Vario Plus,no,
PT05052TQ,RED DINGO,Petral acolchado Red Dingo,no,
MFP295,MEN FOR SAN,Champú proteinas de seda y aceite de argan,no,
HU201786,HUNTER,Arnés Soho Mini,no,
PT05053FX,RED DINGO,Petral acolchado Red Dingo,no,
COA47120A,COMPANY OF ANIMALS,Halti anatomy arnés cachorro,no,
HU208647,HUNTER,SOFA ORTHOPEDIC CORBIE 80X60 CM POLYESTER ANTHRACITE,no,
HU69788,HUNTER,Arnés Hilo Comfort,no,
HU204932,HUNTER,Sofa Kumara 100x70 cm Polyester khaki,no,
PT05043PIR,RED DINGO,Petral Style,no,
PT05023MA,RED DINGO,Petral liso,no,
CL03051RJ,RED DINGO,Collar liso extra-ancho,no,
COA29321B,COMPANY OF ANIMALS,Carsafe Dog Travel Harness,no,
COA47207A,COMPANY OF ANIMALS,Halti anatomy correa multiposición,no,
PT05062TQ,RED DINGO,Petral No-Pull,no,
HU201787,HUNTER,Arnés Soho Mini,no,
CL00224,SPRENGER,Collar eslabón corto,no,
CL00545,SPRENGER,Collar eslabón retorcido,no,
CL05014NE,RED DINGO,Collar liso perro,no,
CL00543,SPRENGER,Collar eslabón retorcido,no,
HU66059,HUNTER,Collar Aalborg,no,
PT05041CMF,RED DINGO,Petral Style,no,
CL05043SPB,RED DINGO,Collar Style,no,
CD00101RO20,UNITED PETS,Recambio Bon Ton Nano,no,
JU03989,KONG,KONG Gyro,no,
PT05020RJ,RED DINGO,Petral liso,no,
COCOSI176,COCOSI,Estofado casero para perro de ternera,no,
PT05043SLR,RED DINGO,Petral Style,no,
HU64094,HUNTER,Collar Neopren Reflect,no,
HU69906,HUNTER,Collar Love,no,
HU67603,HUNTER,Correa ajustable Hilo,no,
HU201769,HUNTER,Correa Divo Up,no,
VE04782CO,DGS,Impermeable Acacia Coral,no,
COA15423ZG1,COMPANY OF ANIMALS,Arnés halti antitirones,no,
PT05041SLR,RED DINGO,Petral Style,no,
HU200288,HUNTER,Cama Rockford,no,
CD00101GR,UNITED PETS,Recambio Bon Ton Nano,no,
JU03087,KONG,KONG Puppy,no,
JU04290,KONG,KONG Goodie Ribbon,no,
JU04296,KONG,KONG Wubba Friends Assorted,no,
CL00208,SPRENGER,Collar eslabón retorcido,no,
HU42828,HUNTER,Collar Swiss,no,
JU03085,KONG,KONG Puppy,no,
KVP0143,KVP,Bite Free,no,
HU66681,HUNTER,Arnés Hilo Comfort,no,
CR05018BL,RED DINGO,Correa lisa multiposición,no,
PT05052FX,RED DINGO,Petral acolchado Red Dingo,no,
HU91362,HUNTER,Comedero de Melamina,no,
CL03010RJ,RED DINGO,Collar liso gato,no,
HU66605,HUNTER,Arnés Hilo Comfort,no,
PT05063NE,RED DINGO,Petral No-Pull,no,
HU41955,HUNTER,Collar Swiss,no,
HU201785,HUNTER,Arnés Soho Mini,no,
CL05043SBT,RED DINGO,Collar Style,no,
JU03541,KONG,KONG Wild Knots Bears,no,
PT05054TQ,RED DINGO,Petral acolchado Red Dingo,no,
HU204865,HUNTER,Comedero Mayfair,no,
JU03035,KONG,KONG Extreme Ball,no,
CL05044SLR,RED DINGO,Collar Style,no,
HU201759,HUNTER,Correa Divo Up,no,
CL05042PIR,RED DINGO,Collar Style,no,
HU43969,HUNTER,Collar Vario Basic Alu - Strong,no,
CL00226,SPRENGER,Collar eslabón corto,no,
YOWUP211,YOWUP,Yogurt SKIN AND HAIR CAT 85g (Box 10 units),no,
HU69803,HUNTER,Arnés Hilo Comfort,no,
COA47106A,COMPANY OF ANIMALS,Halti anatomy arnés turquesa,no,
AL01270,KONG,KONG Snacks Puppy,no,
HU67482,HUNTER,Arnés Hilo Comfort,no,
PT05020NA,RED DINGO,Petral liso,no,
KVP0041,KVP,Saf-T-Clear,no,
HU66611,HUNTER,Collar Hilo Vario Plus,no,
PT05050MO,RED DINGO,Petral acolchado Red Dingo,no,
HU69817,HUNTER,Arnés Hilo Comfort,no,
KVP0010,KVP,KONG Quick Fit,no,
HU68904,HUNTER,Collar Convenience,no,
PT05061RJ,RED DINGO,Petral No-Pull,no,
CL05041CMF,RED DINGO,Collar Style,no,
JU05105,KONG,KONG Halloween Wubba Ballistic Assorted L,no,
JU03947,KONG,KONG Puppy Tires,no,
HU204970,HUNTER,Comedero Cerámica Osby,no,
JU04363,KONG,KONG Twistz Ring,no,
HU201748,HUNTER,Arnés Divo Up,no,
CR05018FX,RED DINGO,Correa lisa multiposición,no,
JU03601,KONG,KONG Jumbler Football,no,
COA18121ZG2,COMPANY OF ANIMALS,Bozal halti headcollar,no,
HU201762,HUNTER,Arnés Divo Up,no,
COA64020A,COMPANY OF ANIMALS,Baskerville classic basket bozal,no,
CL05044SBT,RED DINGO,Collar Style,no,
JU03101,KONG,KONG Stuff-A-Ball,no,
HU67164,HUNTER,Collar Hilo Vario Basic,no,
PT05051RJ,RED DINGO,Petral acolchado Red Dingo,no,
HU67468,HUNTER,Arnés Hilo Comfort,no,
CL00227,SPRENGER,Collar eslabón corto,no,
COA64720A,COMPANY OF ANIMALS,Baskerville classic basket bozal,no,
HU67246,HUNTER,Collar Aalborg Special,no,
